"ubigeo_reniec	departamento	provincia	distrito				"
"010101	AMAZONAS	CHACHAPOYAS	CHACHAPOYAS				"
"010102	AMAZONAS	CHACHAPOYAS	ASUNCION				"
"010103	AMAZONAS	CHACHAPOYAS	BALSAS				"
"010104	AMAZONAS	CHACHAPOYAS	CHETO				"
"010105	AMAZONAS	CHACHAPOYAS	CHILIQUIN				"
"010106	AMAZONAS	CHACHAPOYAS	CHUQUIBAMBA				"
"010107	AMAZONAS	CHACHAPOYAS	GRANADA				"
"010108	AMAZONAS	CHACHAPOYAS	HUANCAS				"
"010109	AMAZONAS	CHACHAPOYAS	LA JALCA				"
"010110	AMAZONAS	CHACHAPOYAS	LEIMEBAMBA				"
"010111	AMAZONAS	CHACHAPOYAS	LEVANTO				"
"010112	AMAZONAS	CHACHAPOYAS	MAGDALENA				"
"010113	AMAZONAS	CHACHAPOYAS	MARISCAL CASTILLA				"
"010114	AMAZONAS	CHACHAPOYAS	MOLINOPAMPA				"
"010115	AMAZONAS	CHACHAPOYAS	MONTEVIDEO				"
"010116	AMAZONAS	CHACHAPOYAS	OLLEROS				"
"010117	AMAZONAS	CHACHAPOYAS	QUINJALCA				"
"010118	AMAZONAS	CHACHAPOYAS	SAN FRANCISCO DE DAGUAS				"
"010119	AMAZONAS	CHACHAPOYAS	SAN ISIDRO DE MAINO				"
"010120	AMAZONAS	CHACHAPOYAS	SOLOCO				"
"010121	AMAZONAS	CHACHAPOYAS	SONCHE				"
"010205	AMAZONAS	BAGUA	BAGUA				"
"010202	AMAZONAS	BAGUA	ARAMANGO				"
"010203	AMAZONAS	BAGUA	COPALLIN				"
"010204	AMAZONAS	BAGUA	EL PARCO				"
"010206	AMAZONAS	BAGUA	IMAZA				"
"010201	AMAZONAS	BAGUA	LA PECA				"
"010301	AMAZONAS	BONGARA	JUMBILLA				"
"010304	AMAZONAS	BONGARA	CHISQUILLA				"
"010305	AMAZONAS	BONGARA	CHURUJA				"
"010302	AMAZONAS	BONGARA	COROSHA				"
"010303	AMAZONAS	BONGARA	CUISPES				"
"010306	AMAZONAS	BONGARA	FLORIDA				"
"010312	AMAZONAS	BONGARA	JAZAN				"
"010307	AMAZONAS	BONGARA	RECTA				"
"010308	AMAZONAS	BONGARA	SAN CARLOS				"
"010309	AMAZONAS	BONGARA	SHIPASBAMBA				"
"010310	AMAZONAS	BONGARA	VALERA				"
"010311	AMAZONAS	BONGARA	YAMBRASBAMBA				"
"010601	AMAZONAS	CONDORCANQUI	NIEVA				"
"010603	AMAZONAS	CONDORCANQUI	EL CENEPA				"
"010602	AMAZONAS	CONDORCANQUI	RIO SANTIAGO				"
"010401	AMAZONAS	LUYA	LAMUD				"
"010402	AMAZONAS	LUYA	CAMPORREDONDO				"
"010403	AMAZONAS	LUYA	COCABAMBA				"
"010404	AMAZONAS	LUYA	COLCAMAR				"
"010405	AMAZONAS	LUYA	CONILA				"
"010406	AMAZONAS	LUYA	INGUILPATA				"
"010407	AMAZONAS	LUYA	LONGUITA				"
"010408	AMAZONAS	LUYA	LONYA CHICO				"
"010409	AMAZONAS	LUYA	LUYA				"
"010410	AMAZONAS	LUYA	LUYA VIEJO				"
"010411	AMAZONAS	LUYA	MARIA				"
"010412	AMAZONAS	LUYA	OCALLI				"
"010413	AMAZONAS	LUYA	OCUMAL				"
"010414	AMAZONAS	LUYA	PISUQUIA				"
"010423	AMAZONAS	LUYA	PROVIDENCIA				"
"010415	AMAZONAS	LUYA	SAN CRISTOBAL				"
"010416	AMAZONAS	LUYA	SAN FRANCISCO DEL YESO				"
"010417	AMAZONAS	LUYA	SAN JERONIMO				"
"010418	AMAZONAS	LUYA	SAN JUAN DE LOPECANCHA				"
"010419	AMAZONAS	LUYA	SANTA CATALINA				"
"010420	AMAZONAS	LUYA	SANTO TOMAS				"
"010421	AMAZONAS	LUYA	TINGO				"
"010422	AMAZONAS	LUYA	TRITA				"
"010501	AMAZONAS	RODRIGUEZ DE MENDOZA	SAN NICOLAS				"
"010503	AMAZONAS	RODRIGUEZ DE MENDOZA	CHIRIMOTO				"
"010502	AMAZONAS	RODRIGUEZ DE MENDOZA	COCHAMAL				"
"010504	AMAZONAS	RODRIGUEZ DE MENDOZA	HUAMBO				"
"010505	AMAZONAS	RODRIGUEZ DE MENDOZA	LIMABAMBA				"
"010506	AMAZONAS	RODRIGUEZ DE MENDOZA	LONGAR				"
